target,history,test_year,spec,feature,training_missing,test_missing,training_median,value_withheld_all_training_missing,missing_indicator_retained
maintenance_ratio_pct,short_2017_onward,2023,fiscal_only,cash_cover_months__prior,0,0,11.61,False,True
maintenance_ratio_pct,short_2017_onward,2023,fiscal_only,current_ratio__prior,0,0,3.4,False,True
maintenance_ratio_pct,short_2017_onward,2023,fiscal_only,own_source_pct__prior,0,0,65.32,False,True
maintenance_ratio_pct,short_2017_onward,2023,fiscal_only,debt_service_cover__prior,17,3,7.3100000000000005,False,True
maintenance_ratio_pct,short_2017_onward,2023,fiscal_only,maintenance_ratio_pct__prior,0,0,100.0,False,True
maintenance_ratio_pct,short_2017_onward,2023,fiscal_only,population__prior,0,0,23399.0,False,True
maintenance_ratio_pct,short_2017_onward,2023,fiscal_only,road_km__prior,0,0,1176.4337503999998,False,True
maintenance_ratio_pct,short_2017_onward,2023,fiscal_plus_fire,operating_ratio_pct__prior,0,0,2.63,False,True
maintenance_ratio_pct,short_2017_onward,2023,fiscal_plus_fire,cash_cover_months__prior,0,0,11.61,False,True
maintenance_ratio_pct,short_2017_onward,2023,fiscal_plus_fire,current_ratio__prior,0,0,3.4,False,True
maintenance_ratio_pct,short_2017_onward,2023,fiscal_plus_fire,own_source_pct__prior,0,0,65.32,False,True
maintenance_ratio_pct,short_2017_onward,2023,fiscal_plus_fire,debt_service_cover__prior,17,3,7.3100000000000005,False,True
maintenance_ratio_pct,short_2017_onward,2023,fiscal_plus_fire,maintenance_ratio_pct__prior,0,0,100.0,False,True
maintenance_ratio_pct,short_2017_onward,2023,fiscal_plus_fire,population__prior,0,0,23399.0,False,True
maintenance_ratio_pct,short_2017_onward,2023,fiscal_plus_fire,road_km__prior,0,0,1176.4337503999998,False,True
maintenance_ratio_pct,short_2017_onward,2023,fiscal_plus_fire,fesm_burned_ha__event,0,0,0.0,False,True
maintenance_ratio_pct,short_2017_onward,2023,fiscal_plus_disaster,operating_ratio_pct__prior,0,0,2.63,False,True
maintenance_ratio_pct,short_2017_onward,2023,fiscal_plus_disaster,cash_cover_months__prior,0,0,11.61,False,True
maintenance_ratio_pct,short_2017_onward,2023,fiscal_plus_disaster,current_ratio__prior,0,0,3.4,False,True
maintenance_ratio_pct,short_2017_onward,2023,fiscal_plus_disaster,own_source_pct__prior,0,0,65.32,False,True
maintenance_ratio_pct,short_2017_onward,2023,fiscal_plus_disaster,debt_service_cover__prior,17,3,7.3100000000000005,False,True
maintenance_ratio_pct,short_2017_onward,2023,fiscal_plus_disaster,maintenance_ratio_pct__prior,0,0,100.0,False,True
maintenance_ratio_pct,short_2017_onward,2023,fiscal_plus_disaster,population__prior,0,0,23399.0,False,True
maintenance_ratio_pct,short_2017_onward,2023,fiscal_plus_disaster,road_km__prior,0,0,1176.4337503999998,False,True
maintenance_ratio_pct,short_2017_onward,2023,fiscal_plus_disaster,fesm_burned_ha__event,0,0,0.0,False,True
maintenance_ratio_pct,short_2017_onward,2024,fiscal_only,operating_ratio_pct__prior,0,0,2.13,False,True
maintenance_ratio_pct,short_2017_onward,2024,fiscal_only,cash_cover_months__prior,0,0,11.77,False,True
maintenance_ratio_pct,short_2017_onward,2024,fiscal_only,current_ratio__prior,0,0,3.32,False,True
maintenance_ratio_pct,short_2017_onward,2024,fiscal_only,own_source_pct__prior,0,0,64.04,False,True
maintenance_ratio_pct,short_2017_onward,2024,fiscal_only,debt_service_cover__prior,20,2,7.23,False,True
maintenance_ratio_pct,short_2017_onward,2024,fiscal_only,maintenance_ratio_pct__prior,0,0,100.0,False,True
maintenance_ratio_pct,short_2017_onward,2024,fiscal_only,population__prior,0,0,23399.0,False,True
maintenance_ratio_pct,short_2017_onward,2024,fiscal_only,road_km__prior,0,0,1187.7525101,False,True
maintenance_ratio_pct,short_2017_onward,2024,fiscal_plus_fire,operating_ratio_pct__prior,0,0,2.13,False,True
maintenance_ratio_pct,short_2017_onward,2024,fiscal_plus_fire,cash_cover_months__prior,0,0,11.77,False,True
maintenance_ratio_pct,short_2017_onward,2024,fiscal_plus_fire,current_ratio__prior,0,0,3.32,False,True
maintenance_ratio_pct,short_2017_onward,2024,fiscal_plus_fire,own_source_pct__prior,0,0,64.04,False,True
maintenance_ratio_pct,short_2017_onward,2024,fiscal_plus_fire,debt_service_cover__prior,20,2,7.23,False,True
maintenance_ratio_pct,short_2017_onward,2024,fiscal_plus_fire,maintenance_ratio_pct__prior,0,0,100.0,False,True
maintenance_ratio_pct,short_2017_onward,2024,fiscal_plus_fire,population__prior,0,0,23399.0,False,True
maintenance_ratio_pct,short_2017_onward,2024,fiscal_plus_fire,road_km__prior,0,0,1187.7525101,False,True
maintenance_ratio_pct,short_2017_onward,2024,fiscal_plus_fire,fesm_burned_ha__event,0,0,0.0,False,True
maintenance_ratio_pct,short_2017_onward,2024,fiscal_plus_disaster,operating_ratio_pct__prior,0,0,2.13,False,True
maintenance_ratio_pct,short_2017_onward,2024,fiscal_plus_disaster,cash_cover_months__prior,0,0,11.77,False,True
maintenance_ratio_pct,short_2017_onward,2024,fiscal_plus_disaster,current_ratio__prior,0,0,3.32,False,True
maintenance_ratio_pct,short_2017_onward,2024,fiscal_plus_disaster,own_source_pct__prior,0,0,64.04,False,True
maintenance_ratio_pct,short_2017_onward,2024,fiscal_plus_disaster,debt_service_cover__prior,20,2,7.23,False,True
maintenance_ratio_pct,short_2017_onward,2024,fiscal_plus_disaster,maintenance_ratio_pct__prior,0,0,100.0,False,True
maintenance_ratio_pct,short_2017_onward,2024,fiscal_plus_disaster,population__prior,0,0,23399.0,False,True
maintenance_ratio_pct,short_2017_onward,2024,fiscal_plus_disaster,road_km__prior,0,0,1187.7525101,False,True
maintenance_ratio_pct,short_2017_onward,2024,fiscal_plus_disaster,fesm_burned_ha__event,0,0,0.0,False,True
